Type,Item Code,Sales Description,Print as single line (sales),Print as single line (purchasing),Matrix Parent,Barcode,Serial Number,Item is active?,Item is Sold,Item is Purchased,Is Matrix,Commodity code,Amounts as percentage,Unit Price,Sales Units,Foreign Price 1,Foreign Price 1,Foreign Price 2,Foreign Price 2,Pays Commission,Unit Cost,Purchase Units,Foreign Cost 1,Foreign Cost 1,Foreign Cost 2,Foreign Cost 2,On Hand,On Sales Orders (Allocated),Free Stock,Average Cost,On Sales Orders (Not Allocated),Shortfall,On Purchase Orders,Stock Units,1 Purchase Unit =,1 Sales Unit =,Location,Last Stock Take,Units counted,Supplier Part number/Code,Supplier Description,Use on Purchase Documents,Default Order Type,Re-order level,Minimum Order Value,Minimum Order Quantity,Average Lead Time,Category 1,Category 2,Category 3,Category 4,Attribute 1,Attribute 2,Attribute 3,Attribute 4,Attribute 5,Attribute 6,Item Class,Image 1,Image 2,Image 3,Image 4,Item is Drop Shipped,Pack Separately,Weigh Before Shipping,Number of units per box,Shipping Instructions,Dimension Units,Height,Width,Length,Weight Units,Weight,Volume Units,Volume,Dimension Units,Height,Width,Length,Weight Units,Weight,Volume Units,Volume,Revenue/Income,Asset,Expense,Available in Portal Cart,Cart Mapping,Price Impact
Stock Item,06012,"Evil Twin, The Cowboy (24 x355ml)",,,,,,Y,Y,Y,N,,,83.18,Case(s),0.00,None,0.00,None,Y,0.00,Each,0.00,None,0.00,None,0,0,0,0,0,0,0,Each,1,1,,,0,,,N,Standard,0,0.00,0,45,Case(s),None,None,None,None,None,None,None,None,None,None,,,,,N,N,N,,,cm,25,35,25,kg,12,,,,,,,,,,,Sales,Stock on Hand,Cost of Goods Sold - Opening Stock,Y,,
Stock Item,15001,"Stillwater, Lower Dens (12 x 375ml) 5+1",,,,,,Y,Y,Y,N,,,88.20,Case(s),0.00,None,0.00,None,Y,0.00,Each,0.00,None,0.00,None,30,0,30,0,0,0,0,Each,1,1,,,0,,,N,Standard,0,0.00,0,45,Case(s),None,None,None,None,None,None,None,None,None,None,,,,,N,N,N,,,cm,25,30,20,kg,9,,,,,,,,,,,Sales,Stock on Hand,Cost of Goods Sold - Opening Stock,Y,,
Stock Item,15002,"Stillwater, Table Beer (12 x 660ml)",,,,,,Y,Y,Y,N,,,127.28,Case(s),0.00,None,0.00,None,Y,0.00,Each,0.00,None,0.00,None,0,0,0,0,0,0,0,Each,1,1,,,0,,,N,Standard,0,0.00,0,45,Case(s),None,None,None,None,None,None,None,None,None,None,,,,,N,N,N,,,cm,25,35,25,kg,12,,,,,,,,,,,Sales,Stock on Hand,Cost of Goods Sold - Opening Stock,Y,,
Stock Item,15003,"Stillwater, Premium Ale (12 x 660ml)",,,,,,Y,Y,Y,N,,,126.28,Case(s),0.00,None,0.00,None,Y,0.00,Each,0.00,None,0.00,None,0,0,0,0,0,0,0,Each,1,1,,,0,,,N,Standard,0,0.00,0,45,Case(s),None,None,None,None,None,None,None,None,None,None,,,,,N,N,N,,,cm,25,35,25,kg,12,,,,,,,,,,,Sales,Stock on Hand,Cost of Goods Sold - Opening Stock,Y,,
Stock Item,15004,"Stillwater, Stateside Saison (12 x 750ml)",,,,,,N,Y,Y,N,,,143.03,Case(s),0.00,None,0.00,None,Y,0.00,Each,0.00,None,0.00,None,0,0,0,0,0,0,0,Each,1,1,,,0,,,N,Standard,0,0.00,0,45,Case(s),None,None,None,None,None,None,None,None,None,None,,,,,N,N,N,,,cm,25,35,25,kg,12,,,,,,,,,,,Sales,Stock on Hand,Cost of Goods Sold - Opening Stock,Y,,
Stock Item,15005,"Stillwater, Cellar Door (24 x 355ml)",,,,,,Y,Y,Y,N,,,99.95,Case(s),0.00,None,0.00,None,Y,0.00,Each,0.00,None,0.00,None,0,0,0,0,0,0,0,Each,1,1,,,0,,,N,Standard,0,0.00,0,45,Case(s),None,None,None,None,None,None,None,None,None,None,,,,,N,N,N,,,cm,30,35,30,kg,14,,,,,,,,,,,Sales,Stock on Hand,Cost of Goods Sold - Opening Stock,Y,,
Stock Item,22510,"Kaiju, KEG Cthulhu Black IPA (50L Keg)",,,,,,Y,Y,Y,N,,,350.00,Keg(s),0.00,None,0.00,None,Y,268.18,Keg(s),0.00,None,0.00,None,3,0,3,295.044006,0,0,0,Each,1,1,,,0,,,N,Standard,0,0.00,0,0,Keg(s),None,None,None,None,None,None,None,None,None,None,,,,,N,N,N,,,Cm,52,40,40,Kg,30,,,,,,,,,,,Sales,Stock on Hand,Cost of Goods Sold - Opening Stock,Y,,
Stock Item,22006,"Kaiju, Cthulhu Black IPA (12 x 500ml)",,,,,,Y,Y,Y,N,,,84.50,Case(s),0.00,None,0.00,None,Y,60.44,Case(s),0.00,None,0.00,None,44,0,44,59.1743099814967,0,0,0,Each,1,1,,,0,,,N,Standard,0,0.00,0,0,Case(s),None,None,None,None,None,None,None,None,None,None,,,,,N,N,N,,,Cm,25,35,25,Kg,12,,,,,,,,,,,Sales,Stock on Hand,Cost of Goods Sold - Opening Stock,Y,,
Stock Item,23005,"Dainton, Grand Pappy's Whip - Imperial Red Ale (12 x 500ml)",,,,,,Y,Y,Y,N,,,90.50,Case(s),0.00,None,0.00,None,Y,72.50,Case(s),0.00,None,0.00,None,40,2,38,72.5,0,0,0,Each,1,1,,,0,d,Dainton,N,Standard,0,0.00,0,0,Case(s),None,None,None,None,None,None,None,None,None,None,,,,,N,N,N,,,Cm,25,35,25,Kg,12,,,,,,,,,,,Sales,Stock on Hand,Cost of Goods Sold - Opening Stock,Y,,
Stock Item,23511,"Dainton, 50L Grand Pappy's Whip - Imperial Red Ale (50L Keg)",,,,,,Y,Y,Y,N,,,272.00,Keg(s),0.00,None,0.00,None,Y,355.00,Keg(s),0.00,None,0.00,None,13,0,13,355,0,0,0,Each,1,1,,,0,,,N,Standard,0,0.00,0,0,Keg(s),None,None,None,None,None,None,None,None,None,None,,,,,N,N,N,,,Cm,52,42,42,Kg,30,,,,,,,,,,,Sales,Stock on Hand,Cost of Goods Sold - Opening Stock,Y,,
